Student,ET,ttm ,ttp ,SFPG
1,107.1833333,202,257,91
2,116.5833333,243,348,78
3,175.2666667,301,462,95
4,156.6,294,470,90
5,142.85,226,365,73
6,131.9,296,369,100
7,312.9833333,369,537,100
8,101.45,215,278,73
9,115.9,210,293,68
10,224.8666667,342,533,94
11,181.2166667,190,241,84
12,184,233,353,90
13,143.0666667,186,291,70
14,161.6166667,227,350,84
15,208.8,184,281,80
16,125.2333333,207,295,67
17,156.6833333,232,330,72
18,185.7333333,235,297,100
19,131.7,177,281,73
20,111.3166667,201,362,74
21,136.9333333,227,317,67
22,127.4,211,331,79
23,132.7166667,297,422,80
24,131.35,196,277,74
25,122.9333333,233,372,79
26,253.2666667,305,410,100
27,94.75,213,327,70
28,345.4666667,336,536,93
29,117.7833333,174,278,69
30,134.7166667,312,452,87
31,125.3166667,233,324,81
32,120.3666667,238,345,79
33,470.95,333,502,93
34,136.0833333,150,213,57
35,106.6666667,250,346,70
36,132.6166667,389,486,93
37,79.23333333,130,204,47
38,136.0166667,157,235,66
39,183.6833333,194,280,76
40,132.75,198,327,75
41,159.9666667,316,448,94
42,184.3333333,476,691,92
43,207.3,295,466,93
44,138.3,314,517,81
45,180.9,416,538,94
46,121.1166667,221,295,84
47,92.41666667,205,294,67
48,106.7166667,130,189,58
49,108.25,191,240,72
50,130.4833333,302,439,86
51,137.9333333,261,339,85
52,142.75,359,454,91
53,116.3666667,242,363,80
54,129.0666667,220,390,77
55,150.8833333,202,412,74
56,112.6333333,132,197,61
57,144.7,179,283,72
58,128.45,166,289,70
59,87.75,237,385,65
60,113.8666667,256,374,85
61,172.1833333,257,441,94
62,137.2,203,286,76
63,98.96666667,257,409,63
64,108.7333333,287,421,82
65,206.6,237,292,88
66,94.76666667,151,215,60
67,129.6333333,247,328,83
68,112.5166667,187,252,76
69,125.3,301,439,80
70,106.8,216,300,74
71,138.9,272,444,94
72,143.8833333,217,362,63
73,128.2166667,172,240,67
74,128.35,229,483,70
75,134.4166667,198,423,76
76,84.8,179,244,72
77,206.1166667,221,320,60
78,195.6333333,364,575,95
79,115.3,154,263,65
80,251.4666667,384,491,100
81,109.6666667,287,477,74
82,108.6833333,195,268,68
83,157.8666667,138,238,58
84,111.5166667,272,404,75
85,124.0833333,217,354,80
86,112.9333333,221,302,58
87,144.6333333,211,272,75
88,138.0166667,195,247,81
89,171.9166667,230,313,100
90,163.3833333,350,468,90
91,213.1333333,240,458,85
92,318.95,290,525,100
93,175.3666667,212,281,82
94,254.2166667,270,343,93
95,186.0666667,376,466,100
96,183,328,398,96
97,156.8333333,217,284,81
98,167.55,224,324,82
99,142.6666667,185,269,71
100,158.7166667,309,537,88
101,85.41666667,126,228,52
102,162.6333333,264,386,91
103,174.4666667,237,364,78
104,125,250,379,83
105,161.4666667,191,295,72
106,187.5,235,402,80
107,154.45,238,376,85
108,107.6666667,236,290,66
109,136.6833333,175,310,59
110,98.91666667,173,253,74
111,319.2833333,388,638,100
112,155.25,249,352,88
113,137.9666667,287,410,93
114,143.65,266,532,73
115,156.5,363,510,94
116,199.2166667,261,597,67
117,165.2,201,383,69
118,219.25,118,217,70
119,121.35,242,296,80
120,185.9666667,269,354,89
121,103.8333333,180,267,66
122,129.2333333,289,471,82
123,92.96666667,220,252,86
124,103.6333333,301,383,77
125,128.2333333,224,306,77
126,126.5333333,215,323,77
127,188.2833333,291,415,81
128,129.95,357,528,100
129,120.2833333,221,287,75
130,176.2,225,378,54
131,90.23333333,215,284,75
132,102.1,195,300,41
133,219.4333333,308,454,100
134,180.2333333,302,518,84
135,201.4,235,353,74
136,210.9,201,280,65
137,157.1,208,355,61
138,171.0666667,254,390,87
139,339.75,379,616,100
140,159.1666667,243,297,92
141,172.4,155,209,60
142,214.7833333,283,454,91
143,188.4333333,287,389,100
144,164.7666667,232,312,100
145,123.4666667,247,304,81
146,227.85,356,539,100
147,157.5166667,209,246,86
148,111.5333333,235,367,65
149,164.45,222,323,71
150,123.95,214,286,97
151,102.4166667,176,227,69
152,215.6,219,285,79
153,161.4666667,268,382,86
154,115.4666667,220,295,65
155,162.7833333,141,212,63
156,138.5666667,282,365,77
157,162.6833333,318,442,77
158,129.75,250,327,79
159,148.1166667,249,346,73
160,157.5333333,209,321,79
161,133.7166667,246,481,95
162,156.85,244,420,69
163,105.6,213,328,82
164,121.4333333,219,264,73
165,181.3666667,338,573,100
166,252.6166667,176,277,46
167,188.4166667,300,475,72
168,168.7,229,392,86
169,149.9166667,276,325,91
170,254.9833333,315,462,93
171,128.3166667,216,316,62
172,120.4,146,202,62
173,94.11666667,223,323,97
174,272,351,568,100
175,308.7166667,357,526,96
176,154.5333333,197,270,83
177,165.9,262,400,59
178,186.1666667,266,318,96
179,136.1833333,251,375,76
180,95.18333333,254,391,81
181,117.6666667,180,223,64
182,212.5333333,249,370,99
183,109.1833333,136,189,62
184,169.3333333,259,440,81
185,66.4,185,227,87
186,172.4333333,310,369,100
187,167.3666667,241,305,83
188,154.4,227,304,80
189,227.7166667,271,407,100
190,114.0833333,301,530,83
191,112.4166667,192,256,69
192,130.9666667,255,363,79
193,159.9,327,469,76
194,227.2666667,241,324,92
195,179.7,253,447,70
196,164.6,217,271,82
197,163.2666667,239,410,76
198,110.55,231,302,83
199,252.25,257,331,92
200,270.2833333,217,385,81
201,154.8166667,221,318,68
202,150.7333333,173,260,41
203,80.08333333,143,176,69
204,188.2166667,271,356,87
205,114.1333333,217,325,76
206,191.0166667,185,319,77
207,224.55,249,318,77
208,206.7666667,236,270,87
209,177.6666667,241,351,74
210,93.7,170,251,60
211,128.65,210,283,68
212,132.55,155,238,51
213,112.6833333,140,268,58
214,136.5333333,146,171,84
215,183.1166667,538,702,93
216,145.7833333,261,382,87
217,129.9,161,222,57
218,219.3,254,529,76
219,240.9333333,277,541,99
220,161.7333333,218,292,76
