Student,Gender,KC1 ,KC2,Learned topics 1,KC2,KC3,Learned topics 2,KC3,KC4,Learned top 3,KC 4,KC 5,Learned topic 4,KC5,KC6,Learned topic 5,KC6,KC7,Learned topic 6,KC 7,KC 8,Learned topic 7,KC 8,KC 9,Learned topic 8,KC9,KC10,Learned topic 9,KC 10,KC 11,Learned topic 10,KC11,KC12,Learned topics 11,KC12,KC13,Learned topics 12,KC 13,KC 14,Learned topics 13,KC 14,KC 15,Learned topics 14,KC15,KC16,Learned topics 15,KC16,KC17,Learned topics 16,KC17,KC18,Learned topics 17,KC18,KC19,Learned topics 18,KC19,KC20,Learned topics 19,KC20,KC21,Learned topics 20,KC21,KC22,Learned topics 21,KC22,KC23,Learned topics 22,KC23,KC24,Learned topics 23,KC24,KC25,Learned topics 24,KC25,KC26,Learned topics 25,KC26,KC27,Learned topics 26,KC27,KC28,Learned topics 27,KC 28,KC 29,Learned topics 28,KC29,KC30,Learned topics 29
1,2,100,107,11,107,120,16,120,133,14,133,142,16,142,154,16,154,161,11,161,170,11,170,181,11,181,188,12,188,198,13,198,210,13,210,212,5,212,226,16,226,229,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,31,40,20,40,50,20,50,57,15,57,68,16,68,70,12,70,89,28,89,101,20,101,113,20,113,125,20,125,130,10,130,147,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,12,25,20,25,33,20,33,47,19,47,60,20,60,75,20,75,93,22,93,95,14,95,111,22,111,122,21,122,145,32,145,156,24,156,161,21,161,183,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,29,40,13,40,51,14,51,62,10,62,78,18,78,87,12,87,100,19,100,98,4,98,104,19,104,114,14,114,126,15,126,128,8,128,137,13,137,139,14,139,143,10,143,149,11,149,158,16,158,165,18,165,176,19,176,179,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,83,90,10,90,99,12,99,108,11,108,113,13,113,125,15,125,133,9,133,143,11,143,155,17,155,166,15,166,177,15,177,184,15,184,193,14,193,199,9,199,209,10,209,218,12,218,229,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,97,100,10,100,107,12,107,112,7,112,119,13,119,128,13,128,127,11,127,135,11,135,143,12,143,150,14,150,157,13,157,163,12,163,170,12,170,170,8,170,176,11,176,184,16,184,189,14,189,196,13,196,203,17,203,213,17,213,215,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,78,89,17,89,102,18,102,109,17,109,117,18,117,127,26,127,138,33,138,151,26,151,159,16,159,169,13,169,169,9,169,182,17,182,194,17,194,196,12,196,201,7,201,207,15,207,211,8,211,215,6,215,220,15,220,222,13,222,226,11,226,225,7,225,224,8,224,231,8,,,,,,,,,,,,,,,,,,
8,2,13,22,10,22,31,16,31,44,16,44,53,13,53,61,16,61,75,15,75,86,13,86,92,8,92,106,24,106,128,24,128,131,15,131,143,7,143,152,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,64,69,10,69,80,12,80,84,10,84,91,19,91,93,10,93,109,16,109,127,21,127,142,16,142,149,13,149,155,11,155,164,16,164,173,12,173,176,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,35,51,17,51,59,12,59,75,18,75,89,14,89,94,10,94,99,11,99,108,10,108,111,11,111,114,10,114,117,8,117,121,12,121,121,8,121,123,7,123,127,12,127,130,10,130,135,10,135,136,12,136,145,10,145,148,10,148,154,14,154,158,10,,,,,,,,,,,,,,,,,,,,,,,,
11,1,20,43,20,43,59,18,59,70,14,70,75,10,75,87,14,87,104,21,104,116,16,116,128,19,128,134,11,134,150,21,150,158,15,158,162,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,36,43,10,43,58,16,58,64,8,64,74,13,74,76,10,76,83,13,83,87,12,87,93,12,93,103,10,103,115,16,115,124,11,124,138,15,138,142,10,142,152,14,152,167,19,167,171,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,21,31,19,31,35,16,35,37,8,37,40,13,40,45,8,45,45,6,45,62,21,62,64,11,64,62,8,62,66,17,66,67,9,67,68,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,66,77,11,77,90,16,90,97,11,97,102,12,102,113,15,113,127,16,127,141,15,141,157,19,157,170,15,170,179,14,179,194,18,194,210,18,210,225,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
